
 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.88543E-02   5.48259E+04  -2.07841E+04
   9.99999E-03   4.90680E+04  -2.06791E+04

 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.86083E-02   5.47780E+04  -2.07827E+04
   2.86073E-02   5.47778E+04  -2.07827E+04
   2.86063E-02   5.47776E+04  -2.07827E+04
   2.86053E-02   5.47774E+04  -2.07826E+04
   2.86043E-02   5.47772E+04  -2.07826E+04
   2.86033E-02   5.47770E+04  -2.07826E+04
   2.86023E-02   5.47768E+04  -2.07826E+04
   2.86013E-02   5.47767E+04  -2.07826E+04
   2.86003E-02   5.47765E+04  -2.07826E+04
   2.85993E-02   5.47763E+04  -2.07826E+04
   2.85983E-02   5.47761E+04  -2.07826E+04
   2.85973E-02   5.47759E+04  -2.07826E+04
   2.85963E-02   5.47757E+04  -2.07826E+04
   2.85953E-02   5.47755E+04  -2.07826E+04
   2.85943E-02   5.47753E+04  -2.07826E+04
   2.85933E-02   5.47751E+04  -2.07826E+04
   2.85923E-02   5.47749E+04  -2.07826E+04
   2.85913E-02   5.47747E+04  -2.07826E+04
   2.85903E-02   5.47745E+04  -2.07826E+04
   2.85893E-02   5.47743E+04  -2.07826E+04
   2.85883E-02   5.47741E+04  -2.07825E+04
   2.85873E-02   5.47739E+04  -2.07825E+04
   2.85863E-02   5.47737E+04  -2.07825E+04
   2.85853E-02   5.47735E+04  -2.07825E+04
   2.85843E-02   5.47733E+04  -2.07825E+04
   2.85833E-02   5.47731E+04  -2.07825E+04
   2.85823E-02   5.47729E+04  -2.07825E+04
   2.85813E-02   5.47727E+04  -2.07825E+04
   2.85803E-02   5.47725E+04  -2.07825E+04
   2.85793E-02   5.47723E+04  -2.07825E+04
   2.85783E-02   5.47722E+04  -2.07825E+04
   2.85773E-02   5.47720E+04  -2.07825E+04
   2.85763E-02   5.47718E+04  -2.07825E+04
   2.85753E-02   5.47716E+04  -2.07825E+04
   2.85743E-02   5.47714E+04  -2.07825E+04
   2.85733E-02   5.47712E+04  -2.07825E+04
   2.85723E-02   5.47710E+04  -2.07825E+04
   2.85713E-02   5.47708E+04  -2.07825E+04
   2.85703E-02   5.47706E+04  -2.07824E+04
   2.85693E-02   5.47704E+04  -2.07824E+04
   2.85683E-02   5.47702E+04  -2.07824E+04
   2.85673E-02   5.47700E+04  -2.07824E+04
   2.85663E-02   5.47698E+04  -2.07824E+04
   2.85653E-02   5.47696E+04  -2.07824E+04
   2.85643E-02   5.47694E+04  -2.07824E+04
   2.85633E-02   5.47692E+04  -2.07824E+04
   2.85623E-02   5.47690E+04  -2.07824E+04
   2.85613E-02   5.47688E+04  -2.07824E+04
   2.85603E-02   5.47686E+04  -2.07824E+04
   2.85593E-02   5.47684E+04  -2.07824E+04
   2.85583E-02   5.47682E+04  -2.07824E+04
   2.85573E-02   5.47680E+04  -2.07824E+04
   2.85563E-02   5.47678E+04  -2.07824E+04
   2.85553E-02   5.47677E+04  -2.07824E+04
   2.85543E-02   5.47675E+04  -2.07824E+04
   2.85533E-02   5.47673E+04  -2.07823E+04
   2.85523E-02   5.47671E+04  -2.07823E+04
   2.85513E-02   5.47669E+04  -2.07823E+04
   2.85503E-02   5.47667E+04  -2.07823E+04
   2.85493E-02   5.47665E+04  -2.07823E+04
   2.85483E-02   5.47663E+04  -2.07823E+04
   2.85473E-02   5.47661E+04  -2.07823E+04
   2.85463E-02   5.47659E+04  -2.07823E+04
   2.85453E-02   5.47657E+04  -2.07823E+04
   2.85443E-02   5.47655E+04  -2.07823E+04
   2.85433E-02   5.47653E+04  -2.07823E+04
   2.85423E-02   5.47651E+04  -2.07823E+04
   2.85413E-02   5.47649E+04  -2.07823E+04
   2.85403E-02   5.47647E+04  -2.07823E+04
   2.85393E-02   5.47645E+04  -2.07823E+04
   2.85383E-02   5.47643E+04  -2.07823E+04
   2.85373E-02   5.47641E+04  -2.07823E+04
   2.85363E-02   5.47639E+04  -2.07822E+04
   2.85353E-02   5.47637E+04  -2.07822E+04
   2.85343E-02   5.47635E+04  -2.07822E+04
   2.85333E-02   5.47633E+04  -2.07822E+04
   2.85323E-02   5.47631E+04  -2.07822E+04
   2.85313E-02   5.47629E+04  -2.07822E+04
   2.85303E-02   5.47628E+04  -2.07822E+04
   2.85293E-02   5.47626E+04  -2.07822E+04
   2.85283E-02   5.47624E+04  -2.07822E+04
   2.85273E-02   5.47622E+04  -2.07822E+04
   2.85263E-02   5.47620E+04  -2.07822E+04
   2.85253E-02   5.47618E+04  -2.07822E+04
   2.85243E-02   5.47616E+04  -2.07822E+04
   2.85233E-02   5.47614E+04  -2.07822E+04
   2.85223E-02   5.47612E+04  -2.07822E+04
   2.85213E-02   5.47610E+04  -2.07822E+04
   2.85203E-02   5.47608E+04  -2.07822E+04
   2.85193E-02   5.47606E+04  -2.07822E+04
   2.85183E-02   5.47604E+04  -2.07821E+04
   2.85173E-02   5.47602E+04  -2.07821E+04
   2.85163E-02   5.47600E+04  -2.07821E+04
   2.85153E-02   5.47598E+04  -2.07821E+04
   2.85143E-02   5.47596E+04  -2.07821E+04
   2.85133E-02   5.47594E+04  -2.07821E+04
   2.85123E-02   5.47592E+04  -2.07821E+04
   2.85113E-02   5.47590E+04  -2.07821E+04
   2.85103E-02   5.47588E+04  -2.07821E+04
   2.85093E-02   5.47586E+04  -2.07821E+04
   2.85083E-02   5.47584E+04  -2.07821E+04
   2.85073E-02   5.47582E+04  -2.07821E+04
